CPC3-code,CPC3-title,CPC3-title-ZH,ilcd_code,ilcd_category
0125,"Root, bulb or tuberous vegetables",根茎、球茎或块茎类蔬菜,6.11,Materials production: Food and renewable raw materials
01251,Carrots and turnips,胡萝卜和萝卜,6.11,Materials production: Food and renewable raw materials
01252,Green garlic,青蒜,6.11,Materials production: Food and renewable raw materials
01253,Onions,洋葱,6.11,Materials production: Food and renewable raw materials
01254,Leeks and other alliaceous vegetables,韭菜和其他蒜类蔬菜,6.11,Materials production: Food and renewable raw materials
01259,"Other root, bulb and tuberous vegetables, n.e.c.",其他根茎、球茎和块茎类蔬菜（未另分类,6.11,Materials production: Food and renewable raw materials
0126,"Vegetable seeds, except beet seeds",蔬菜种子，甜菜种子除外,6.1,Materials production: Agricultural production means
01260,"Vegetable seeds, except beet seeds",蔬菜种子，甜菜种子除外,6.1,Materials production: Agricultural production means
0127,Mushrooms and truffles,蘑菇和松露,6.11,Materials production: Food and renewable raw materials
01270,Mushrooms and truffles,蘑菇和松露,6.11,Materials production: Food and renewable raw materials
0129,"Vegetables, fresh, n.e.c.",蔬菜，新鲜，未另分类,6.11,Materials production: Food and renewable raw materials
01290,"Vegetables, fresh, n.e.c.",蔬菜，新鲜，未另分类,6.11,Materials production: Food and renewable raw materials
013,Fruits and nuts,水果和坚果,6.11,Materials production: Food and renewable raw materials
0131,Tropical and subtropical fruits,热带和亚热带水果,6.11,Materials production: Food and renewable raw materials
01311,Avocados,鳄梨,6.11,Materials production: Food and renewable raw materials
01312,Bananas,香蕉,6.11,Materials production: Food and renewable raw materials
01313,Plantains and cooking bananas,大蕉和煮香蕉,6.11,Materials production: Food and renewable raw materials
01314,Dates,日期,6.11,Materials production: Food and renewable raw materials
01315,Figs,无花果,6.11,Materials production: Food and renewable raw materials
01316,"Mangoes, guavas and mangosteens",芒果、番石榴和山竹果,6.11,Materials production: Food and renewable raw materials
01317,Papayas,木瓜,6.11,Materials production: Food and renewable raw materials
01318,Pineapples,菠萝,6.11,Materials production: Food and renewable raw materials
01319,"Other tropical and subtropical fruits, n.e.c.",未另分类的其他热带和亚热带水果,6.11,Materials production: Food and renewable raw materials
0132,Citrus fruits,柑橘类水果,6.11,Materials production: Food and renewable raw materials
01321,Pomelos and grapefruits,柚子和葡萄柚,6.11,Materials production: Food and renewable raw materials
01322,Lemons and limes,柠檬和酸橙,6.11,Materials production: Food and renewable raw materials
01323,Oranges,橙子,6.11,Materials production: Food and renewable raw materials
01324,"Tangerines, mandarins, clementines",橘子、柑橘、小柠檬,6.11,Materials production: Food and renewable raw materials
01329,"Other citrus fruit, n.e.c.",其他柑橘类水果，未另分类,6.11,Materials production: Food and renewable raw materials
0133,Grapes,葡萄,6.11,Materials production: Food and renewable raw materials
01330,Grapes,葡萄,6.11,Materials production: Food and renewable raw materials
0134,Pome fruits and stone fruits,仁果类和核果类水果,6.11,Materials production: Food and renewable raw materials
01341,Apples,苹果,6.11,Materials production: Food and renewable raw materials
01342,Pears and quinces,梨和榅桲,6.11,Materials production: Food and renewable raw materials
01343,Apricots,杏子,6.11,Materials production: Food and renewable raw materials
01344,Cherries,樱桃,6.11,Materials production: Food and renewable raw materials
01345,Peaches and nectarines,桃子和油桃,6.11,Materials production: Food and renewable raw materials
01346,Plums and sloes,李子和苏子,6.11,Materials production: Food and renewable raw materials
01349,Other pome fruits and stone fruits,其他梨果和核果,6.11,Materials production: Food and renewable raw materials
0135,Berries and other fruits,浆果类及其他水果,6.11,Materials production: Food and renewable raw materials
01351,Currants and gooseberries,醋栗和醋栗,6.11,Materials production: Food and renewable raw materials
01352,Kiwi fruit,猕猴桃,6.11,Materials production: Food and renewable raw materials
01353,"Raspberries, blackberries, mulberries and loganberries",覆盆子、黑莓、桑葚和罗甘莓,6.11,Materials production: Food and renewable raw materials
01354,Strawberries,草莓,6.11,Materials production: Food and renewable raw materials
01355,Other berries; fruits of the genus Vaccinium,其他浆果；越橘属水果,6.11,Materials production: Food and renewable raw materials
01356,Locust beans (carobs),角豆,6.11,Materials production: Food and renewable raw materials
01359,"Other fruits, n.e.c.",其他水果，未另分类,6.11,Materials production: Food and renewable raw materials
0136,Fruit seeds,水果种子,6.1,Materials production: Agricultural production means
01360,Fruit seeds,水果种子,6.1,Materials production: Agricultural production means
0137,"Nuts (excluding wild edible nuts and groundnuts), in shell",坚果（不包括野生坚果和落花生），带壳,6.11,Materials production: Food and renewable raw materials
01371,"Almonds, in shell",带壳杏仁,6.11,Materials production: Food and renewable raw materials
01372,"Cashew nuts, in shell",带壳腰果,6.11,Materials production: Food and renewable raw materials
01373,"Chestnuts, in shell",带壳栗子,6.11,Materials production: Food and renewable raw materials
01374,"Hazelnuts, in shell",带壳榛子,6.11,Materials production: Food and renewable raw materials
01375,"Pistachios, in shell",带壳开心果,6.11,Materials production: Food and renewable raw materials
01376,"Walnuts, in shell",带壳核桃,6.11,Materials production: Food and renewable raw materials
01377,"Brazil nuts, in shell",带壳巴西坚果,6.11,Materials production: Food and renewable raw materials
01379,"Other nuts (excluding wild edible nuts and groundnuts), in shell",其他坚果（不包括野生坚果和落花生），带壳,6.11,Materials production: Food and renewable raw materials
014,Oilseeds and oleaginous fruits,油籽和含油水果,6.11,Materials production: Food and renewable raw materials
0141,Soya beans,大豆,6.11,Materials production: Food and renewable raw materials
01411,"Soya beans, seed for planting",大豆种子（用于种植）,6.1,Materials production: Agricultural production means
01412,"Soya beans, other",大豆，其他,6.11,Materials production: Food and renewable raw materials
0142,"Groundnuts, excluding shelled",花生（未去壳）,6.11,Materials production: Food and renewable raw materials
01421,"Groundnuts, seed for planting",花生种子（用于种植）,6.1,Materials production: Agricultural production means
01422,"Groundnuts, in shell",带壳花生,6.11,Materials production: Food and renewable raw materials
0143,Cottonseed,棉籽,6.11,Materials production: Food and renewable raw materials
01431,"Cottonseed, seed for planting",棉籽种子（用于种植）,6.1,Materials production: Agricultural production means
01432,"Cottonseed, other",其他棉籽,6.11,Materials production: Food and renewable raw materials
0144,Other oilseeds,其他油料种子,6.1,Materials production: Agricultural production means
01441,Linseed,亚麻籽,6.11,Materials production: Food and renewable raw materials
01442,Mustard seed,芥菜籽,6.11,Materials production: Food and renewable raw materials
01443,Rape or colza seed,油菜籽或秋葵籽,6.11,Materials production: Food and renewable raw materials
01444,Sesame seed,芝麻籽,6.11,Materials production: Food and renewable raw materials
01445,Sunflower seed,葵花籽,6.11,Materials production: Food and renewable raw materials
01446,Safflower seed,红花籽,6.11,Materials production: Food and renewable raw materials
01447,Castor oil seeds,蓖麻油种子,6.1,Materials production: Agricultural production means
01448,Poppy seed,罂粟籽,6.11,Materials production: Food and renewable raw materials
01449,"Other oilseeds, n.e.c.",其他油籽（未另说明,6.11,Materials production: Food and renewable raw materials
0145,Olives,橄榄,6.11,Materials production: Food and renewable raw materials
01450,Olives,橄榄,6.11,Materials production: Food and renewable raw materials
0146,"Coconuts, in shell",带壳椰子,6.11,Materials production: Food and renewable raw materials
01460,"Coconuts, in shell",带壳椰子,6.11,Materials production: Food and renewable raw materials
0149,Other oleaginous fruits,其他含油水果,6.11,Materials production: Food and renewable raw materials
01491,Palm nuts and kernels,棕榈果仁,6.11,Materials production: Food and renewable raw materials
01492,Copra,科普拉,6.11,Materials production: Food and renewable raw materials
01499,"Other oleaginous fruits, n.e.c.",其他含油水果，未另列明。,6.11,Materials production: Food and renewable raw materials
015,Edible roots and tubers with high starch or inulin content,含高淀粉或菊粉的食用根茎类作物,6.11,Materials production: Food and renewable raw materials
0151,Potatoes,马铃薯,6.11,Materials production: Food and renewable raw materials
01510,Potatoes,马铃薯,6.11,Materials production: Food and renewable raw materials
0152,Cassava,木薯,6.11,Materials production: Food and renewable raw materials
01520,Cassava,木薯,6.11,Materials production: Food and renewable raw materials
0153,Sweet potatoes,甘薯,6.11,Materials production: Food and renewable raw materials
01530,Sweet potatoes,甘薯,6.11,Materials production: Food and renewable raw materials
0154,Yams,山药,6.11,Materials production: Food and renewable raw materials
01540,Yams,山药,6.11,Materials production: Food and renewable raw materials
0155,Taro,太郎,6.11,Materials production: Food and renewable raw materials
01550,Taro ,太郎,6.11,Materials production: Food and renewable raw materials
0159,Other edible roots and tubers with high starch or inulin content,淀粉或菊粉含量高的其他食用根茎和块茎,6.11,Materials production: Food and renewable raw materials
01591,Yautia,芋头,6.11,Materials production: Food and renewable raw materials
01599,"Other edible roots and tubers with high starch or inulin content, n.e.c.",淀粉或菊粉含量高的其他可食用块根和块茎，未另列明。,6.11,Materials production: Food and renewable raw materials
016,"Stimulant, spice and aromatic crops",刺激性、香料和芳香作物,6.11,Materials production: Food and renewable raw materials
0161,"Coffee, green",绿咖啡,6.11,Materials production: Food and renewable raw materials
01610,"Coffee, green",绿咖啡,6.11,Materials production: Food and renewable raw materials
0162,Tea leaves,茶叶,6.11,Materials production: Food and renewable raw materials
01620,Tea leaves,茶叶,6.11,Materials production: Food and renewable raw materials
0163,Maté leaves,马特叶,6.11,Materials production: Food and renewable raw materials
01630,Maté leaves,马特叶,6.11,Materials production: Food and renewable raw materials
0164,Cocoa beans,可可豆,6.11,Materials production: Food and renewable raw materials
01640,Cocoa beans,可可豆,6.11,Materials production: Food and renewable raw materials
0165,"Spice and aromatic crops, raw",未加工的香料和芳香作物,6.11,Materials production: Food and renewable raw materials
01651,"Pepper (Piper spp.), raw",胡椒（胡椒属），生的,6.11,Materials production: Food and renewable raw materials
01652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",干辣椒和干椒（辣椒属，胡椒属 ），生的,6.11,Materials production: Food and renewable raw materials
01653,"Nutmeg, mace, cardamoms, raw",生肉豆蔻、肉豆蔻、小豆蔻,6.11,Materials production: Food and renewable raw materials
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",八角、八角茴香、芫荽、小茴香、胡荽、茴香和杜松子，生食,6.11,Materials production: Food and renewable raw materials
01655,"Cinnamon and cinnamon-tree flowers, raw",肉桂和桂树花，生食,6.11,Materials production: Food and renewable raw materials
01656,"Cloves (whole stems), raw",丁香（全茎），生的,6.11,Materials production: Food and renewable raw materials
01657,"Ginger, raw",生姜,6.11,Materials production: Food and renewable raw materials
01658,"Vanilla, raw",生香草,6.11,Materials production: Food and renewable raw materials
01659,Hop cones,啤酒花,6.11,Materials production: Food and renewable raw materials
0169,"Stimulant, spice and aromatic crops, n.e.c.",兴奋剂、香料和芳香作物，未另作规定。,6.11,Materials production: Food and renewable raw materials
01691,Chicory roots,菊苣根,6.11,Materials production: Food and renewable raw materials
01699,"Other stimulant, spice and aromatic crops, n.e.c.",其他刺激剂、香料和芳香作物（未另说明,6.11,Materials production: Food and renewable raw materials
017,Pulses (dried leguminous vegetables),豆类（干豆类蔬菜）,6.11,Materials production: Food and renewable raw materials
0170,Pulses (dried leguminous vegetables),豆类（干豆类蔬菜）,6.11,Materials production: Food and renewable raw materials
01701,"Beans, dry",干豆,6.11,Materials production: Food and renewable raw materials
01702,"Broad beans and horse beans, dry",蚕豆和马豆（干）,6.11,Materials production: Food and renewable raw materials
01703,"Chick peas, dry",鹰嘴豆（干）,6.11,Materials production: Food and renewable raw materials
01704,"Lentils, dry",扁豆（干）,6.11,Materials production: Food and renewable raw materials
01705,"Peas, dry",豌豆（干）,6.11,Materials production: Food and renewable raw materials
01706,"Cow peas, dry",豇豆（干）,6.11,Materials production: Food and renewable raw materials
01707,"Pigeon peas, dry",豌豆（干）,6.11,Materials production: Food and renewable raw materials
01708,"Bambara beans, dry",巴巴拉豆（干）,6.11,Materials production: Food and renewable raw materials
01709,"Pulses, n.e.c.",未分类的其他豆类,6.11,Materials production: Food and renewable raw materials
018,Sugar crops,糖料作物,6.11,Materials production: Food and renewable raw materials
0180,Sugar crops,糖料作物,6.11,Materials production: Food and renewable raw materials
01801,Sugar beet,甜菜,6.11,Materials production: Food and renewable raw materials
01802,Sugar cane,甘蔗,6.11,Materials production: Food and renewable raw materials
01803,Sugar beet seeds,制糖用的甜菜种子,6.1,Materials production: Agricultural production means
01809,Other sugar crops n.e.c.,其他糖料作物,6.11,Materials production: Food and renewable raw materials
019,"Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials",饲料产品；纤维作物；用于香水、制药或杀虫、杀菌或类似用途的植物；甜菜、饲料植物和花卉种子；天然橡胶；有生命的植物、切花和花蕾；未加工的烟草；其他蔬菜原料,6.1,Materials production: Agricultural production means
0191,Forage products,牧草产品,6.11,Materials production: Food and renewable raw materials
01911,Maize for forage and silage,饲草和青贮玉米,6.11,Materials production: Food and renewable raw materials
01912,Alfalfa for forage and silage,饲草和青贮紫花苜蓿,6.11,Materials production: Food and renewable raw materials
01913,"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets",谷物秸秆、谷壳，未经加工、研磨、压制或颗粒状,6.11,Materials production: Food and renewable raw materials
01919,"Forage products, n.e.c.",饲料产品，未另分类,6.11,Materials production: Food and renewable raw materials
0192,Fibre crops,纤维作物,6.11,Materials production: Food and renewable raw materials
01921,"Cotton, whether or not ginned",棉花，不论是否轧过,6.11,Materials production: Food and renewable raw materials
01922,"Jute, kenaf, and other textile bast fibres, raw or retted, except flax, true hemp and ramie",黄麻、槿麻和其他纺织韧皮纤维，未加工或经翻新，亚麻、真麻和苎麻除外,6.11,Materials production: Food and renewable raw materials
01929,"Other fibre crops, raw, n.e.c.",其他纤维作物，未加工，未另分类,6.11,Materials production: Food and renewable raw materials
0193,"Plants and parts of plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes",主要供香料用、药用、杀虫用、杀菌用或类似用途的植物和植物的部分,6.11,Materials production: Food and renewable raw materials
01930,"Plants and parts of plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes",主要供香料用、药用、杀虫用、杀菌用或类似用途的植物和植物的部分,6.11,Materials production: Food and renewable raw materials
0194,Beet seeds (excluding sugar beet seeds) and seeds of forage plants,甜菜种子（不包括制糖用甜菜种子）和饲料植物种子,6.1,Materials production: Agricultural production means
01940,Beet seeds (excluding sugar beet seeds) and seeds of forage plants,甜菜种子（不包括制糖用甜菜种子）和饲料植物种子,6.1,Materials production: Agricultural production means
0195,"Natural rubber in primary forms or in plates, sheets or strip",天然橡胶（初级形态或板、片或带状）,6.1,Materials production: Raw materials
01950,"Natural rubber in primary forms or in plates, sheets or strip",天然橡胶（初级形态或板、片或带状）,6.1,Materials production: Raw materials
0196,Living plants; cut flowers and flower buds; flower seeds,活体植物；切花和花蕾；花籽,6.11,Materials production: Food and renewable raw materials
01961,"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn",有生植物；鳞茎、块茎和根；插条和接枝；菌种砖,6.11,Materials production: Food and renewable raw materials
01962,"Cut flowers and flower buds including bouquets, wreaths, floral baskets and similar articles",切花和花蕾，包括花束、花圈和花篮以及类似物品,6.11,Materials production: Food and renewable raw materials
01963,Flower seeds,花卉种子,6.1,Materials production: Agricultural production means
0197,Unmanufactured tobacco,非制成品烟草,6.11,Materials production: Food and renewable raw materials
01970,Unmanufactured tobacco,非制成品烟草,6.11,Materials production: Food and renewable raw materials
0199,"Other raw vegetable materials, n.e.c.",未另分类的其它原生植物原料,6.11,Materials production: Food and renewable raw materials
01990,"Other raw vegetable materials, n.e.c.",未另分类的其它原生植物原料,6.11,Materials production: Food and renewable raw materials
02,Live animals and animal products (excluding meat),活动物和畜产品（不包括肉类）,6.11,Materials production: Food and renewable raw materials
021,Live animals,活动物,6.11,Materials production: Food and renewable raw materials
0211,"Bovine animals, live",活的牛科动物,6.11,Materials production: Food and renewable raw materials
02111,Cattle,活得养殖牛,6.11,Materials production: Food and renewable raw materials
02112,Buffalo,水牛城,6.11,Materials production: Food and renewable raw materials
02119,Other bovine animals,其他牛类动物,6.11,Materials production: Food and renewable raw materials
0212,Other ruminants,其他反刍动物,6.11,Materials production: Food and renewable raw materials
02121,Camels and camelids,骆驼和驼科动物,6.11,Materials production: Food and renewable raw materials
02122,Sheep,绵羊,6.11,Materials production: Food and renewable raw materials
02123,Goats,山羊,6.11,Materials production: Food and renewable raw materials
02129,"Other ruminants, n.e.c.",其他反刍动物，未另分类,6.11,Materials production: Food and renewable raw materials
0213,Horses and other equines,马和其他马科动物,6.11,Materials production: Food and renewable raw materials
02131,Horses,马匹,6.11,Materials production: Food and renewable raw materials
02132,Asses,驴,6.11,Materials production: Food and renewable raw materials
02133,Mules and hinnies,骡子和駃騠,6.11,Materials production: Food and renewable raw materials
0214,Swine / pigs,猪/猪,6.11,Materials production: Food and renewable raw materials
02140,Swine / pigs,猪/猪,6.11,Materials production: Food and renewable raw materials
0215,Poultry,家禽,6.11,Materials production: Food and renewable raw materials
02151,Chickens,鸡,6.11,Materials production: Food and renewable raw materials
02152,Turkeys,火鸡,6.11,Materials production: Food and renewable raw materials
02153,Geese,鹅,6.11,Materials production: Food and renewable raw materials
02154,Ducks,鸭子,6.11,Materials production: Food and renewable raw materials
02155,Guinea fowls,几内亚鸡,6.11,Materials production: Food and renewable raw materials
0219,Other live animals,其他活体动物,6.11,Materials production: Food and renewable raw materials
02191,Rabbits and hares,兔子和野兔,6.11,Materials production: Food and renewable raw materials
02192,Other mammals,其他哺乳动物,6.11,Materials production: Food and renewable raw materials
02193,Ostriches and emus,鸵鸟和鸸鹋,6.11,Materials production: Food and renewable raw materials
02194,Other birds,其他鸟类,6.11,Materials production: Food and renewable raw materials
02195,Reptiles,爬行动物,6.11,Materials production: Food and renewable raw materials
02196,Bees,蜜蜂,6.11,Materials production: Food and renewable raw materials
02199,"Other live animals, n.e.c.",其他活体动物，未另分类,6.1,Materials production: Agricultural production means
022,Raw milk,生牛奶,6.11,Materials production: Food and renewable raw materials
0221,Raw milk from bovine animals,牛生奶,6.11,Materials production: Food and renewable raw materials
02211,Raw milk of cattle,鲜牛奶,6.11,Materials production: Food and renewable raw materials
02212,Raw milk of buffalo,水牛生奶,6.11,Materials production: Food and renewable raw materials
0229,Other raw milk,其他生奶,6.11,Materials production: Food and renewable raw materials
02291,Raw milk of sheep,生羊奶,6.11,Materials production: Food and renewable raw materials
02292,Raw milk of goats,生羊奶,6.11,Materials production: Food and renewable raw materials
02293,Raw milk of camel,骆驼生奶,6.11,Materials production: Food and renewable raw materials
02299,Other raw milk n.e.c.,其他未另作规定的生乳,6.11,Materials production: Food and renewable raw materials
023,"Eggs of hens or other birds in shell, fresh",新鲜带壳母鸡或其他鸟类的蛋,6.11,Materials production: Food and renewable raw materials
0231,"Hen eggs in shell, fresh",新鲜带壳鸡蛋,6.11,Materials production: Food and renewable raw materials
02311,"Hen eggs in shell, fresh, for hatching",孵化用新鲜带壳母鸡蛋,6.11,Materials production: Food and renewable raw materials
02312,"Other hen eggs in shell, fresh",其他新鲜带壳鸡蛋,6.11,Materials production: Food and renewable raw materials
0232,"Eggs from other birds in shell, fresh, n.e.c.",其他鸟类的带壳蛋，新鲜，未另分类,6.11,Materials production: Food and renewable raw materials
02321,"Eggs from other birds in shell, fresh, for hatching",其他鸟类的带壳蛋，新鲜，用于孵化,6.11,Materials production: Food and renewable raw materials
02322,"Other eggs from other birds in shell, fresh",其他鸟类的带壳蛋，新鲜的,6.11,Materials production: Food and renewable raw materials
024,Reproductive materials of animals,动物生殖材料,6.1,Materials production: Agricultural production means
0241,Semen,精液,6.1,Materials production: Agricultural production means
02411,Bovine semen,牛精液,6.1,Materials production: Agricultural production means
02419,"Semen, n.e.c.",精液，未另分类,6.1,Materials production: Agricultural production means
0242,Embryos,胚胎,6.1,Materials production: Agricultural production means
02420,Embryos,胚胎,6.11,Materials production: Food and renewable raw materials
029,Other animal products,其他畜产品,6.11,Materials production: Food and renewable raw materials
0291,Natural honey,天然蜂蜜,6.11,Materials production: Food and renewable raw materials
02910,Natural honey,天然蜂蜜,6.11,Materials production: Food and renewable raw materials
0292,"Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails",蜗牛，新鲜、冷藏、冷冻、干制、盐腌或盐水蜗牛除外,6.11,Materials production: Food and renewable raw materials
02920,"Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails",蜗牛，新鲜、冷藏、冷冻、干制、盐腌或盐水蜗牛除外,6.11,Materials production: Food and renewable raw materials
0293,Edible products of animal origin n.e.c.,其他未分类的可食用动物产品,6.11,Materials production: Food and renewable raw materials
02930,Edible products of animal origin n.e.c.,其他未分类的可食用动物产品,6.11,Materials production: Food and renewable raw materials
0294,Raw animal materials used in textiles,用于纺织的动物原材料,6.11,Materials production: Food and renewable raw materials
02941,"Shorn wool, greasy, including fleece-washed shorn wool",含脂的绵羊毛，包括剪前水洗的绵羊毛,6.11,Materials production: Food and renewable raw materials
02942,"Pulled wool, greasy, including fleece-washed pulled wool; coarse animal hair",羊毛，油脂状，包括羊毛绒清洗的羊毛；粗动物毛发,6.11,Materials production: Food and renewable raw materials
02943,"Fine animal hair, not carded or combed",未经梳理或精梳的动物细毛,6.1,Materials production: Agricultural production means
02944,Silk-worm cocoons suitable for reeling,适于缫丝的丝茧,6.11,Materials production: Food and renewable raw materials
0295,"Hides, skins and furskins, raw",原始皮革、皮张和毛皮,6.11,Materials production: Food and renewable raw materials
02951,Raw hides and skins of bovine animals,"	牛科动物的原皮",6.11,Materials production: Food and renewable raw materials
02952,Raw hides and skins of equine animals,马的生皮和毛皮,6.11,Materials production: Food and renewable raw materials
02953,Raw hides and skins of sheep or lambs,绵羊或羔羊的生皮和毛皮,6.11,Materials production: Food and renewable raw materials
02954,Raw hides and skins of goats or kids,山羊或小羊的生皮和毛皮,6.11,Materials production: Food and renewable raw materials
02955,Raw furskins,生毛皮,6.11,Materials production: Food and renewable raw materials
02959,Raw skins of other animals,其他动物的生皮,6.11,Materials production: Food and renewable raw materials
0296,"Insect waxes and spermaceti, whether or not refined or coloured",昆虫蜡和精蜡，无论是否精制或着色,6.11,Materials production: Food and renewable raw materials
02960,"Insect waxes and spermaceti, whether or not refined or coloured",昆虫蜡和精蜡，无论是否精制或着色,6.11,Materials production: Food and renewable raw materials
03,Forestry and logging products,林业和伐木业制品,6.12,Materials production: Wood
031,Wood in the rough,未加工的木材,6.12,Materials production: Wood
0311,Roundwood of coniferous wood,针叶树材原木,6.12,Materials production: Wood
03111,"Roundwood of coniferous wood, sawlogs and veneer logs",针叶树圆木、锯木和单板原木,6.12,Materials production: Wood
03112,"Roundwood of coniferous wood, pulpwood and wood for wood-based panels",针叶木、纸浆木和人造板用木材的圆木,6.12,Materials production: Wood
0312,Roundwood of non-coniferous wood ,非针叶树材原木,6.12,Materials production: Wood
03121,"Roundwood of non-coniferous wood, sawlogs and veneer logs",非针叶树圆木、锯木和单板原木,6.12,Materials production: Wood
03122,"Roundwood of non-coniferous wood, pulpwood and wood for wood-based panels",非针叶树圆木、纸浆木和人造板用木材,6.12,Materials production: Wood
0313,"Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms",原木、短条、细枝、捆束或类似形状的薪材,6.12,Materials production: Wood
03131,Fuel wood of coniferous wood,针叶林薪材,6.12,Materials production: Wood
